Epoch, Batch, Loss
[1/1],[851/938],1.4792
[1/1],[852/938],1.4782
[1/1],[853/938],1.5112
[1/1],[854/938],1.4717
[1/1],[855/938],1.4759
[1/1],[856/938],1.5075
[1/1],[857/938],1.4859
[1/1],[858/938],1.4739
[1/1],[859/938],1.4654
[1/1],[860/938],1.4782
[1/1],[861/938],1.4714
[1/1],[862/938],1.4639
[1/1],[863/938],1.4763
[1/1],[864/938],1.4642
[1/1],[865/938],1.5049
[1/1],[866/938],1.4780
[1/1],[867/938],1.5070
[1/1],[868/938],1.5000
[1/1],[869/938],1.4883
[1/1],[870/938],1.4896
[1/1],[871/938],1.4876
[1/1],[872/938],1.4786
[1/1],[873/938],1.4919
[1/1],[874/938],1.4787
[1/1],[875/938],1.4849
[1/1],[876/938],1.4876
[1/1],[877/938],1.5134
[1/1],[878/938],1.4911
[1/1],[879/938],1.4747
[1/1],[880/938],1.4772
[1/1],[881/938],1.4926
[1/1],[882/938],1.4680
[1/1],[883/938],1.4889
[1/1],[884/938],1.4924
[1/1],[885/938],1.4715
[1/1],[886/938],1.4789
[1/1],[887/938],1.4967
[1/1],[888/938],1.4890
[1/1],[889/938],1.4688
[1/1],[890/938],1.4996
[1/1],[891/938],1.5218
[1/1],[892/938],1.4722
[1/1],[893/938],1.4727
[1/1],[894/938],1.4744
[1/1],[895/938],1.4617
[1/1],[896/938],1.4776
[1/1],[897/938],1.4778
[1/1],[898/938],1.4613
[1/1],[899/938],1.4832
[1/1],[900/938],1.4733
[1/1],[901/938],1.4814
[1/1],[902/938],1.4642
[1/1],[903/938],1.4769
[1/1],[904/938],1.4734
[1/1],[905/938],1.4771
[1/1],[906/938],1.4650
[1/1],[907/938],1.5465
[1/1],[908/938],1.5049
[1/1],[909/938],1.5049
[1/1],[910/938],1.4979
[1/1],[911/938],1.5348
[1/1],[912/938],1.4939
[1/1],[913/938],1.4639
[1/1],[914/938],1.4820
[1/1],[915/938],1.4797
[1/1],[916/938],1.4654
[1/1],[917/938],1.4687
[1/1],[918/938],1.4981
[1/1],[919/938],1.4662
[1/1],[920/938],1.4647
[1/1],[921/938],1.4758
[1/1],[922/938],1.4746
[1/1],[923/938],1.4876
[1/1],[924/938],1.4639
[1/1],[925/938],1.4716
[1/1],[926/938],1.4783
[1/1],[927/938],1.4620
