Epoch, Batch, Loss
[1/1],[760/938],1.4617
[1/1],[761/938],1.4765
[1/1],[762/938],1.5010
[1/1],[763/938],1.4788
[1/1],[764/938],1.4949
[1/1],[765/938],1.4969
[1/1],[766/938],1.4953
[1/1],[767/938],1.4658
[1/1],[768/938],1.4692
[1/1],[769/938],1.5474
[1/1],[770/938],1.4786
[1/1],[771/938],1.5370
[1/1],[772/938],1.4656
[1/1],[773/938],1.4991
[1/1],[774/938],1.4701
[1/1],[775/938],1.4857
[1/1],[776/938],1.5109
[1/1],[777/938],1.5232
[1/1],[778/938],1.4781
[1/1],[779/938],1.4868
[1/1],[780/938],1.4786
[1/1],[781/938],1.5012
[1/1],[782/938],1.4832
[1/1],[783/938],1.4816
[1/1],[784/938],1.4617
[1/1],[785/938],1.4740
[1/1],[786/938],1.4758
[1/1],[787/938],1.4698
[1/1],[788/938],1.5103
[1/1],[789/938],1.4993
[1/1],[790/938],1.4854
[1/1],[791/938],1.5162
[1/1],[792/938],1.4624
[1/1],[793/938],1.4760
[1/1],[794/938],1.5007
[1/1],[795/938],1.4638
[1/1],[796/938],1.4851
[1/1],[797/938],1.4731
[1/1],[798/938],1.4793
[1/1],[799/938],1.4622
[1/1],[800/938],1.4829
[1/1],[801/938],1.4802
[1/1],[802/938],1.4810
[1/1],[803/938],1.4814
[1/1],[804/938],1.4698
[1/1],[805/938],1.5069
[1/1],[806/938],1.5082
[1/1],[807/938],1.4794
[1/1],[808/938],1.4944
[1/1],[809/938],1.4826
[1/1],[810/938],1.4914
[1/1],[811/938],1.4702
[1/1],[812/938],1.4660
[1/1],[813/938],1.4831
[1/1],[814/938],1.5271
[1/1],[815/938],1.4852
[1/1],[816/938],1.5050
[1/1],[817/938],1.4628
[1/1],[818/938],1.4948
[1/1],[819/938],1.4756
[1/1],[820/938],1.4659
[1/1],[821/938],1.4875
[1/1],[822/938],1.4612
[1/1],[823/938],1.4655
[1/1],[824/938],1.4951
[1/1],[825/938],1.4837
[1/1],[826/938],1.4679
[1/1],[827/938],1.4722
[1/1],[828/938],1.5209
[1/1],[829/938],1.4910
[1/1],[830/938],1.4683
[1/1],[831/938],1.4702
[1/1],[832/938],1.4770
[1/1],[833/938],1.4810
[1/1],[834/938],1.4802
[1/1],[835/938],1.4799
[1/1],[836/938],1.4812
[1/1],[837/938],1.4856
[1/1],[838/938],1.4772
[1/1],[839/938],1.4806
[1/1],[840/938],1.5000
[1/1],[841/938],1.4683
[1/1],[842/938],1.4835
[1/1],[843/938],1.4743
[1/1],[844/938],1.4627
[1/1],[845/938],1.4789
[1/1],[846/938],1.4888
[1/1],[847/938],1.4805
[1/1],[848/938],1.4710
[1/1],[849/938],1.4900
[1/1],[850/938],1.4771
[1/1],[851/938],1.5194
[1/1],[852/938],1.4655
[1/1],[853/938],1.4855
[1/1],[854/938],1.4822
[1/1],[855/938],1.4951
[1/1],[856/938],1.5479
[1/1],[857/938],1.5056
[1/1],[858/938],1.4963
[1/1],[859/938],1.4804
[1/1],[860/938],1.4743
[1/1],[861/938],1.4643
[1/1],[862/938],1.5175
[1/1],[863/938],1.4832
[1/1],[864/938],1.4795
[1/1],[865/938],1.5000
[1/1],[866/938],1.5216
[1/1],[867/938],1.5010
[1/1],[868/938],1.5338
[1/1],[869/938],1.4964
[1/1],[870/938],1.4750
[1/1],[871/938],1.4996
[1/1],[872/938],1.4667
[1/1],[873/938],1.4690
[1/1],[874/938],1.4831
[1/1],[875/938],1.4696
[1/1],[876/938],1.4901
[1/1],[877/938],1.4614
[1/1],[878/938],1.4617
[1/1],[879/938],1.4799
[1/1],[880/938],1.4798
[1/1],[881/938],1.4678
[1/1],[882/938],1.4708
[1/1],[883/938],1.4882
[1/1],[884/938],1.4739
[1/1],[885/938],1.4624
[1/1],[886/938],1.4810
[1/1],[887/938],1.5256
[1/1],[888/938],1.5029
[1/1],[889/938],1.4672
[1/1],[890/938],1.4880
[1/1],[891/938],1.4983
[1/1],[892/938],1.4749
[1/1],[893/938],1.5029
